Name,Codename,Cores,Brand,Socket,Process,Clock,Multi,Voltage,Cache L1/L2/L3,TDP,Released
Athlon II X3 435,Rana,3-Core,AMD,AM3,45 nm,2900 MHz,14.5x,1.425 V,128K / 512K / 0K,95W,Oct-09
Athlon II X3 440,Rana,3-Core,AMD,AM3,45 nm,3000 MHz,15.0x,1.425 V,128K / 512K / 0K,95W,Jan-10
Athlon II X3 445,Rana,3-Core,AMD,AM3,45 nm,3100 MHz,15.5x,1.4 V,128K / 512K / 0K,95W,May-10
Athlon II X3 450,Rana,3-Core,AMD,AM3,45 nm,3200 MHz,16.0x,1.4 V,128K / 512K / 0K,95W,Sep-10
Athlon II X3 455,Rana,3-Core,AMD,AM3,45 nm,3300 MHz,16.5x,1.4 V,128K / 512K / 0K,95W,Dec-10
Athlon II X3 460,Rana,3-Core,AMD,AM3,45 nm,3400 MHz,17.0x,1.4 V,128K / 512K / 0K,95W,May-11
Athlon II X4 600e,Propus,4-Core,AMD,AM3,45 nm,2200 MHz,11.0x,1.2 V,128K / 512K / 0K,45W,Oct-09
Athlon II X4 605e,Propus,4-Core,AMD,AM3,45 nm,2300 MHz,11.5x,1.25 V,128K / 512K / 0K,45W,Oct-09
Athlon II X4 610e,Propus,4-Core,AMD,AM3,45 nm,2400 MHz,12.0x,1.25 V,128K / 512K / 0K,45W,May-10
Athlon II X4 615e,Propus,4-Core,AMD,AM3,45 nm,2500 MHz,12.5x,1.25 V,128K / 512K / 0K,45W,Sep-10
Athlon II X4 620,Propus,4-Core,AMD,AM3,45 nm,2600 MHz,13.0x,1.425 V,128K / 512K / 0K,95W,Sep-09
Athlon II X4 620e,Propus,4-Core,AMD,AM3,45 nm,2600 MHz,13.0x,1.25 V,128K / 512K / 0K,45W,May-11
Athlon II X4 630,Propus,4-Core,AMD,AM3,45 nm,2800 MHz,14.0x,1.425 V,128K / 512K / 0K,95W,Sep-09
Athlon II X4 631,Llano,4-Core,AMD,FM1,32 nm,2600 MHz,26.0x,1.4125 V,128K / 1024K / 0K,100W,Aug-11
Athlon II X4 635,Propus,4-Core,AMD,AM3,45 nm,2900 MHz,14.5x,1.425 V,128K / 512K / 0K,95W,Jan-10
Athlon II X4 638,Llano,4-Core,AMD,FM1,32 nm,2700 MHz,27.0x,1.4125 V,128K / 1024K / 0K,65W,Feb-12
Athlon II X4 640,Propus,4-Core,AMD,AM3,45 nm,3000 MHz,15.0x,1.4 V,128K / 512K / 0K,95W,May-10
Athlon II X4 641,Llano,4-Core,AMD,FM1,32 nm,2800 MHz,28.0x,1.4125 V,128K / 1024K / 0K,100W,Feb-12
Athlon II X4 645,Propus,4-Core,AMD,AM3,45 nm,3100 MHz,15.5x,1.4 V,128K / 512K / 0K,95W,Sep-10
Athlon II X4 651,Llano,4-Core,AMD,FM1,32 nm,3000 MHz,30.0x,1.4125 V,128K / 1024K / 0K,100W,Nov-11
Athlon II X4 651K,Llano,4-Core,AMD,FM1,32 nm,3000 MHz,30.0x,1.4125 V,128K / 1024K / 0K,100W,Nov-11
Athlon X2 4050e,Brisbane,2-Core,AMD,AM2,65 nm,2100 MHz,10.5x,1.15 V,256K / 512K / 0K,45W,Apr-08
Athlon X2 4450e,Brisbane,2-Core,AMD,AM2,65 nm,2300 MHz,11.5x,1.15 V,256K / 512K / 0K,45W,Apr-08
Athlon X2 4850e,Brisbane,2-Core,AMD,AM2,65 nm,2500 MHz,12.5x,1.15 V,256K / 512K / 0K,45W,Mar-08
Athlon X2 5050e,Brisbane,2-Core,AMD,AM2,65 nm,2600 MHz,13.0x,1.15 V,256K / 512K / 0K,45W,Oct-08
Athlon X2 6500 BE,Kuma,2-Core,AMD,AM2+,65 nm,2300 MHz,11.5x,1.25 V,128K / 512K / 2048K,95W,Sep-08
Athlon X2 7450,Kuma,2-Core,AMD,AM2+,65 nm,2400 MHz,12.0x,1.325 V,128K / 512K / 2048K,95W,Dec-08
Athlon X2 7550,Kuma,2-Core,AMD,AM2+,65 nm,2500 MHz,12.5x,1.325 V,128K / 512K / 2048K,95W,Dec-08
Athlon X2 7750 BE,Kuma,2-Core,AMD,AM2+,65 nm,2700 MHz,13.5x,1.325 V,128K / 512K / 2048K,95W,Dec-08
Athlon X2 7850 BE,Kuma,2-Core,AMD,AM2+,65 nm,2800 MHz,14.0x,1.325 V,128K / 512K / 2048K,95W,Apr-09
Athlon X2 BE-2300,Brisbane,2-Core,AMD,AM2,65 nm,1900 MHz,9.5x,1.25 V,256K / 512K / 0K,45W,Oct-07
Athlon X2 BE-2350,Brisbane,2-Core,AMD,AM2,65 nm,2100 MHz,10.5x,1.25 V,256K / 512K / 0K,45W,Oct-07
Athlon X2 BE-2400,Brisbane,2-Core,AMD,AM2,65 nm,2300 MHz,11.5x,1.25 V,256K / 512K / 0K,45W,Oct-07
Athlon XP 1500+,Palomino,1-Core,AMD,A,180 nm,1333 MHz,10.0x,1.75 V,128K / 256K / 0K,60W,Oct-01
Athlon XP 1600+,Thoroughbred,1-Core,AMD,A,130 nm,1400 MHz,10.5x,1.6 V,128K / 256K / 0K,49W,Jan-01
Athlon XP 1600+,Palomino,1-Core,AMD,A,180 nm,1400 MHz,10.5x,1.75 V,128K / 256K / 0K,63W,Oct-01
Athlon XP 1700+,Thoroughbred,1-Core,AMD,A,130 nm,1467 MHz,11.0x,1.6 V,128K / 256K / 0K,50W,Jan-01
Athlon XP 1700+,Thoroughbred,1-Core,AMD,A,130 nm,1467 MHz,11.0x,1.5 V,128K / 256K / 0K,50W,Jan-01
Athlon XP 1700+,Palomino,1-Core,AMD,A,180 nm,1467 MHz,11.0x,1.75 V,128K / 256K / 0K,64W,Oct-01
Athlon XP 1800+,Thoroughbred,1-Core,AMD,A,130 nm,1533 MHz,11.5x,1.6 V,128K / 256K / 0K,51W,Jun-02
Athlon XP 1800+,Thoroughbred,1-Core,AMD,A,130 nm,1533 MHz,11.5x,1.5 V,128K / 256K / 0K,51W,Jan-01
Athlon XP 1800+,Palomino,1-Core,AMD,A,180 nm,1533 MHz,11.5x,1.75 V,128K / 256K / 0K,66W,Oct-01
Athlon XP 1900+,Thoroughbred,1-Core,AMD,A,130 nm,1600 MHz,12.0x,1.5 V,128K / 256K / 0K,53W,Jan-01
Athlon XP 1900+,Palomino,1-Core,AMD,A,180 nm,1600 MHz,12.0x,1.75 V,128K / 256K / 0K,68W,Nov-01
Athlon XP 2000+,Thorton,1-Core,AMD,A,130 nm,1667 MHz,12.5x,1.6 V,128K / 256K / 0K,60W,Sep-03
Athlon XP 2000+,Thoroughbred,1-Core,AMD,A,130 nm,1667 MHz,12.5x,1.6 V,128K / 256K / 0K,60W,Jun-02
Athlon XP 2000+,Thoroughbred,1-Core,AMD,A,130 nm,1667 MHz,12.5x,1.65 V,128K / 256K / 0K,60W,Jun-02
Athlon XP 2000+,Palomino,1-Core,AMD,A,180 nm,1667 MHz,12.5x,1.75 V,128K / 256K / 0K,70W,Jan-02
Athlon XP 2000+,Thorton,1-Core,AMD,A,130 nm,1667 MHz,12.5x,1.5 V,128K / 256K / 0K,60W,Sep-03
Athlon XP 2100+,Thoroughbred,1-Core,AMD,A,130 nm,1733 MHz,13.0x,1.6 V,128K / 256K / 0K,62W,Jan-01
Athlon XP 2100+,Palomino,1-Core,AMD,A,180 nm,1733 MHz,13.0x,1.75 V,128K / 256K / 0K,72W,Mar-02
Athlon XP 2200+,Thorton,1-Core,AMD,A,130 nm,1800 MHz,13.5x,1.6 V,128K / 256K / 0K,63W,Sep-03
Athlon XP 2200+,Thoroughbred,1-Core,AMD,A,130 nm,1800 MHz,13.5x,1.6 V,128K / 256K / 0K,63W,Jan-01
Athlon XP 2200+,Thoroughbred,1-Core,AMD,A,130 nm,1800 MHz,13.5x,1.65 V,128K / 256K / 0K,68W,Jun-02
Athlon XP 2200+,Thorton,1-Core,AMD,A,130 nm,1800 MHz,13.5x,1.5 V,128K / 256K / 0K,63W,Sep-03
Athlon XP 2400+,Thorton,1-Core,AMD,A,130 nm,2000 MHz,15.0x,1.65 V,128K / 256K / 0K,68W,Sep-03
Athlon XP 2400+,Thorton,1-Core,AMD,A,130 nm,2000 MHz,15.0x,1.6 V,128K / 256K / 0K,68W,Sep-03
Athlon XP 2400+,Thoroughbred,1-Core,AMD,A,130 nm,2000 MHz,15.0x,1.65 V,128K / 256K / 0K,68W,Aug-02
Athlon XP 2400+,Thoroughbred,1-Core,AMD,A,130 nm,2000 MHz,15.0x,1.6 V,128K / 256K / 0K,65W,Aug-02
Athlon XP 2500+,Barton,1-Core,AMD,A,130 nm,1833 MHz,11.0x,1.65 V,128K / 512K / 0K,68W,Feb-03
Athlon XP 2500+ DTR,Barton,1-Core,AMD,A,130 nm,1833 MHz,11.0x,1.5 V,128K / 512K / 0K,68W,Feb-03
Athlon XP 2600+,Barton,1-Core,AMD,A,130 nm,1917 MHz,11.5x,1.65 V,128K / 512K / 0K,68W,Jan-01
Athlon XP 2600+,Thoroughbred,1-Core,AMD,A,130 nm,2083 MHz,12.5x,1.65 V,128K / 256K / 0K,68W,Aug-02
Athlon XP 2600+,Thoroughbred,1-Core,AMD,A,130 nm,2133 MHz,16.0x,1.65 V,128K / 256K / 0K,68W,Oct-02
Athlon XP 2600+,Thorton,1-Core,AMD,A,130 nm,2133 MHz,16.0x,1.65 V,128K / 256K / 0K,68W,Sep-03
Athlon XP 2600+,Thorton,1-Core,AMD,A,130 nm,2083 MHz,12.5x,1.65 V,128K / 256K / 0K,68W,Sep-03
Athlon XP 2600+ DTR,Barton,1-Core,AMD,A,130 nm,1917 MHz,11.5x,1.5 V,128K / 512K / 0K,68W,Jan-01
Athlon XP 2700+,Thoroughbred,1-Core,AMD,A,130 nm,2167 MHz,13.0x,1.65 V,128K / 256K / 0K,68W,Oct-02
Athlon XP 2800+,Barton,1-Core,AMD,A,130 nm,2083 MHz,12.5x,1.65 V,128K / 512K / 0K,68W,Jan-01
Athlon XP 2800+,Thoroughbred,1-Core,AMD,A,130 nm,2250 MHz,13.5x,1.65 V,128K / 256K / 0K,74W,Oct-02
Athlon XP 2800+ DTR,Barton,1-Core,AMD,A,130 nm,2083 MHz,12.5x,1.5 V,128K / 512K / 0K,68W,Jan-01
Athlon XP 3000+,Barton,1-Core,AMD,A,130 nm,2100 MHz,10.5x,1.65 V,128K / 512K / 0K,68W,Jan-01
Athlon XP 3000+,Barton,1-Core,AMD,A,130 nm,2167 MHz,13.0x,1.65 V,128K / 512K / 0K,68W,Jan-01
Athlon XP 3100+,Thorton,1-Core,AMD,A,130 nm,2200 MHz,16.0x,1.65 V,128K / 256K / 0K,68W,Dec-03
Athlon XP 3200+,Barton,1-Core,AMD,A,130 nm,2200 MHz,11.0x,1.65 V,128K / 512K / 0K,77W,Jan-01
Atom S1220,Centerton,2-Core,Intel,BGA1283,32 nm,1600 MHz,16.0x,unknown,56K / 512K / 0K,8W,Dec-12
Atom S1240,Centerton,2-Core,Intel,BGA1283,32 nm,1600 MHz,16.0x,unknown,56K / 512K / 0K,6W,Dec-12
Atom S1260,Centerton,2-Core,Intel,BGA1283,32 nm,2000 MHz,20.0x,unknown,56K / 512K / 0K,9W,Dec-12
Celeron 2.0,Northwood,1-Core,Intel,478,130 nm,2000 MHz,20.0x,1.55 V,8K / 128K / 0K,73W,Sep-02
Celeron 2.0,Northwood,1-Core,Intel,478,130 nm,2000 MHz,20.0x,1.55 V,8K / 128K / 0K,73W,Sep-02
Celeron 2.10,Northwood,1-Core,Intel,478,130 nm,2100 MHz,21.0x,1.55 V,8K / 128K / 0K,73W,Nov-02
Celeron 2.20,Northwood,1-Core,Intel,478,130 nm,2200 MHz,22.0x,1.55 V,8K / 128K / 0K,73W,Nov-02
Celeron 2.30,Northwood,1-Core,Intel,478,130 nm,2300 MHz,23.0x,1.55 V,8K / 128K / 0K,73W,Mar-03
Celeron 2.40,Northwood,1-Core,Intel,478,130 nm,2400 MHz,24.0x,1.55 V,8K / 128K / 0K,73W,Mar-03
Celeron 2.60,Northwood,1-Core,Intel,478,130 nm,2600 MHz,26.0x,1.55 V,8K / 128K / 0K,73W,Jun-03
Celeron 2.70,Northwood,1-Core,Intel,478,130 nm,2700 MHz,27.0x,1.55 V,8K / 128K / 0K,73W,Sep-03
Celeron 2.80,Northwood,1-Core,Intel,478,130 nm,2800 MHz,28.0x,1.55 V,8K / 128K / 0K,73W,Nov-03
Celeron 220,Conroe-L,1-Core,Intel,479,65 nm,1200 MHz,9.0x,1.3375 V,64K / 512K / 0K,19W,Oct-07
Celeron 420,Conroe-L,1-Core,Intel,775,65 nm,1600 MHz,8.0x,1.3375 V,64K / 512K / 0K,35W,Jun-07
Celeron 430,Conroe-L,1-Core,Intel,775,65 nm,1800 MHz,9.0x,1.3375 V,64K / 512K / 0K,35W,Jun-07
Celeron 440,Conroe-L,1-Core,Intel,775,65 nm,2000 MHz,10.0x,1.3375 V,64K / 512K / 0K,35W,Jun-07
Celeron 445,Conroe-CL,1-Core,Intel,771,65 nm,1866 MHz,7.0x,unknown,64K / 512K / 0K,65W,May-08
Celeron 450,Conroe-L,1-Core,Intel,775,65 nm,2200 MHz,11.0x,1.3375 V,64K / 512K / 0K,35W,Aug-08
Celeron D 325,Prescott,1-Core,Intel,775,90 nm,2533 MHz,19.0x,1.4 V,16K / 256K / 0K,73W,Jun-04
Celeron D 326,Prescott,1-Core,Intel,775,90 nm,2530 MHz,19.0x,1.4 V,16K / 256K / 0K,73W,Sep-04
Celeron D 330,Prescott,1-Core,Intel,775,90 nm,2667 MHz,20.0x,1.4 V,16K / 256K / 0K,84W,Jun-04
Celeron D 335,Prescott,1-Core,Intel,478,90 nm,2800 MHz,21.0x,1.4 V,16K / 256K / 0K,84W,Jun-04
Celeron D 335,Prescott,1-Core,Intel,478,90 nm,2800 MHz,21.0x,1.4 V,16K / 256K / 0K,84W,Jun-04
Celeron D 340,Prescott,1-Core,Intel,775,90 nm,2930 MHz,19.0x,1.4 V,16K / 256K / 0K,84W,Sep-04
Celeron D 341,Prescott,1-Core,Intel,775,90 nm,2930 MHz,22.0x,1.4 V,16K / 256K / 0K,84W,Sep-04
Celeron D 346,Prescott,1-Core,Intel,775,90 nm,3060 MHz,23.0x,1.4 V,16K / 256K / 0K,73W,Oct-04
Celeron D 350,Prescott,1-Core,Intel,478,90 nm,3200 MHz,24.0x,1.4 V,16K / 256K / 0K,84W,Jun-05
Celeron D 352,Cedar Mill,1-Core,Intel,775,65 nm,3200 MHz,24.0x,1.4 V,16K / 512K / 0K,84W,May-06
Celeron E1200,Allendale,2-Core,Intel,775,65 nm,1600 MHz,8.0x,1.5 V,64K / 512K / 0K,65W,Jan-08
Celeron E1400,Allendale,2-Core,Intel,775,65 nm,2000 MHz,10.0x,1.5 V,64K / 512K / 0K,65W,Apr-08
Celeron E1500,Allendale,2-Core,Intel,775,65 nm,2200 MHz,11.0x,1.5 V,64K / 512K / 0K,65W,Nov-08
Celeron E1600,Allendale,2-Core,Intel,775,65 nm,2400 MHz,12.0x,1.5 V,64K / 512K / 0K,65W,May-09
Celeron E3200,Wolfdale,2-Core,Intel,775,45 nm,2400 MHz,12.0x,1.3625 V,64K / 1024K / 0K,65W,Aug-09
Celeron E3300,Wolfdale,2-Core,Intel,775,45 nm,2500 MHz,12.5x,1.3625 V,64K / 1024K / 0K,65W,Aug-09
Celeron E3400,Wolfdale,2-Core,Intel,775,45 nm,2600 MHz,13.0x,1.3625 V,64K / 1024K / 0K,65W,Jan-10
Celeron E3500,Wolfdale,2-Core,Intel,775,45 nm,2700 MHz,13.5x,1.3625 V,64K / 1024K / 0K,65W,Aug-10
Celeron G1101,Clarkdale,2-Core,Intel,1156,32 nm,2266 MHz,17.0x,1.4 V,64K / 256K / 2048K,73W,Jan-10
Celeron G1610,Ivy Bridge,2-Core,Intel,1155,22 nm,2600 MHz,26.0x,unknown,64K / 256K / 2048K,55W,Dec-12
Celeron G1610T,Ivy Bridge,2-Core,Intel,1155,22 nm,2300 MHz,23.0x,unknown,64K / 256K / 2048K,35W,Dec-12
Celeron G1620,Ivy Bridge,2-Core,Intel,1155,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 2048K,55W,Dec-12
Celeron G1620T,Ivy Bridge,2-Core,Intel,1155,22 nm,2400 MHz,24.0x,unknown,64K / 256K / 2048K,35W,Sep-13
Celeron G1630,Ivy Bridge,2-Core,Intel,1155,22 nm,2800 MHz,28.0x,unknown,64K / 256K / 2048K,55W,Sep-13
Celeron G1820,Haswell,2-Core,Intel,1150,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 3072K,54W,Dec-13
Celeron G1820T,Haswell,2-Core,Intel,1150,22 nm,2400 MHz,24.0x,unknown,64K / 256K / 3072K,54W,Dec-13
Celeron G1820TE,Haswell,2-Core,Intel,1150,22 nm,2200 MHz,22.0x,unknown,64K / 256K / 3072K,54W,Dec-13
Celeron G1830,Haswell,2-Core,Intel,1150,22 nm,2800 MHz,28.0x,unknown,64K / 256K / 3072K,54W,Dec-13
Celeron G1840,Haswell,2-Core,Intel,1150,22 nm,2800 MHz,28.0x,unknown,64K / 256K / 3072K,54W,May-14
Celeron G1840T,Haswell,2-Core,Intel,1150,22 nm,2500 MHz,25.0x,unknown,64K / 256K / 3072K,54W,May-14
Celeron G1850,Haswell,2-Core,Intel,1150,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 3072K,54W,May-14
Celeron G3900,Skylake,2-Core,Intel,1151,14 nm,2800 MHz,28.0x,unknown,64K / 256K / 4096K,51W,Sep-15
Celeron G3920,Skylake,2-Core,Intel,1151,14 nm,2900 MHz,29.0x,unknown,64K / 256K / 4096K,51W,Sep-15
Celeron G440,Sandy Bridge,1-Core,Intel,1155,32 nm,1600 MHz,16.0x,unknown,64K / 256K / 1024K,35W,Sep-11
Celeron G460,Sandy Bridge,1-Core,Intel,1155,32 nm,1800 MHz,18.0x,unknown,64K / 256K / 1536K,35W,Dec-11
Celeron G465,Sandy Bridge,1-Core,Intel,1155,32 nm,1900 MHz,19.0x,unknown,64K / 256K / 1536K,35W,Sep-12
Celeron G530,Sandy Bridge,2-Core,Intel,1155,32 nm,2400 MHz,24.0x,unknown,64K / 256K / 2048K,65W,Sep-11
Celeron G530T,Sandy Bridge,2-Core,Intel,1155,32 nm,2000 MHz,20.0x,unknown,64K / 256K / 2048K,35W,Sep-11
Celeron G540,Sandy Bridge,2-Core,Intel,1155,32 nm,2500 MHz,25.0x,unknown,64K / 256K / 2048K,65W,Sep-11
Celeron G540T,Sandy Bridge,2-Core,Intel,1155,32 nm,2100 MHz,21.0x,unknown,64K / 256K / 2048K,35W,Sep-11
Celeron G550,Sandy Bridge,2-Core,Intel,1155,32 nm,2600 MHz,26.0x,unknown,64K / 256K / 2048K,65W,Jun-12
Celeron G550T,Sandy Bridge,2-Core,Intel,1155,32 nm,2200 MHz,22.0x,unknown,64K / 256K / 2048K,35W,Sep-11
Celeron G555,Sandy Bridge,2-Core,Intel,1155,32 nm,2700 MHz,27.0x,unknown,64K / 256K / 2048K,65W,Sep-12
Celeron P1053,Jasper Forest,1-Core,Intel,1366,45 nm,1333 MHz,10.0x,1.5 V,64K / 256K / 2048K,30W,Feb-10
Core 2 Duo E4300,Allendale,2-Core,Intel,775,65 nm,1800 MHz,9.0x,1.34 V,64K / 2048K / 0K,65W,Jul-06
Core 2 Duo E4400,Allendale,2-Core,Intel,775,65 nm,2000 MHz,10.0x,1.34 V,64K / 2048K / 0K,65W,Jul-07
Core 2 Duo E4500,Allendale,2-Core,Intel,775,65 nm,2200 MHz,11.0x,0.9 V,64K / 2048K / 0K,65W,Jul-07
Core 2 Duo E4600,Allendale,2-Core,Intel,775,65 nm,2400 MHz,12.0x,0.9 V,64K / 2048K / 0K,65W,Oct-07
Core 2 Duo E4700,Allendale,2-Core,Intel,775,65 nm,2600 MHz,13.0x,0.9 V,64K / 2048K / 0K,65W,Mar-08
Core 2 Duo E6300,Conroe,2-Core,Intel,775,65 nm,1866 MHz,7.0x,1.34 V,64K / 2048K / 0K,65W,Jul-06
Core 2 Duo E6320,Conroe,2-Core,Intel,775,65 nm,1860 MHz,7.0x,1.34 V,64K / 4096K / 0K,65W,Apr-07
Core 2 Duo E6400,Conroe,2-Core,Intel,775,65 nm,2133 MHz,8.0x,1.34 V,64K / 2048K / 0K,65W,Jul-06
Core 2 Duo E6420,Conroe,2-Core,Intel,775,65 nm,2133 MHz,8.0x,1.2 V,64K / 4096K / 0K,65W,Apr-07
Core 2 Duo E6550,Conroe,2-Core,Intel,775,65 nm,2333 MHz,7.0x,1.25 V,64K / 4096K / 0K,65W,Jul-07
Core 2 Duo E6600,Conroe,2-Core,Intel,775,65 nm,2400 MHz,9.0x,1.34 V,64K / 4096K / 0K,65W,Jul-06
Core 2 Duo E6700,Conroe,2-Core,Intel,775,65 nm,2667 MHz,10.0x,1.34 V,64K / 4096K / 0K,65W,Jul-06
Core 2 Duo E6750,Conroe,2-Core,Intel,775,65 nm,2667 MHz,8.0x,1.25 V,64K / 4096K / 0K,65W,Jul-07
Core 2 Duo E6850,Conroe,2-Core,Intel,775,65 nm,3000 MHz,9.0x,1.25 V,64K / 4096K / 0K,75W,Jul-07
Core 2 Duo E7200,Wolfdale,2-Core,Intel,775,45 nm,2533 MHz,9.5x,0.9 V,64K / 3072K / 0K,65W,Apr-08
Core 2 Duo E7300,Wolfdale,2-Core,Intel,775,45 nm,2667 MHz,10.0x,0.9 V,64K / 3072K / 0K,65W,Aug-08
Core 2 Duo E7400,Wolfdale,2-Core,Intel,775,45 nm,2800 MHz,10.5x,0.9 V,64K / 3072K / 0K,65W,Oct-08
Core 2 Duo E7500,Wolfdale,2-Core,Intel,775,45 nm,2933 MHz,11.0x,0.9 V,64K / 3072K / 0K,65W,Jan-09
Core 2 Duo E7600,Wolfdale,2-Core,Intel,775,45 nm,3067 MHz,11.5x,0.9 V,64K / 3072K / 0K,65W,May-09
Core 2 Duo E8190,Wolfdale,2-Core,Intel,775,45 nm,2667 MHz,8.0x,1.2 V,128K / 6144K / 0K,65W,Jan-08
Core 2 Duo E8200,Wolfdale,2-Core,Intel,775,45 nm,2667 MHz,8.0x,1.2 V,128K / 6144K / 0K,65W,Jan-08
Core 2 Duo E8300,Wolfdale,2-Core,Intel,775,45 nm,2833 MHz,9.0x,1.2 V,128K / 6144K / 0K,65W,Apr-08
Core 2 Duo E8400,Wolfdale,2-Core,Intel,775,45 nm,3000 MHz,9.0x,1.2 V,128K / 6144K / 0K,65W,Jan-08
Core 2 Duo E8500,Wolfdale,2-Core,Intel,775,45 nm,3330 MHz,10.0x,1.2 V,64K / 6144K / 0K,65W,Aug-08
Core 2 Duo E8500,Wolfdale,2-Core,Intel,775,45 nm,3160 MHz,9.5x,1.2 V,128K / 6144K / 0K,65W,Jan-08
Core 2 Duo E8600,Wolfdale,2-Core,Intel,775,45 nm,3330 MHz,10.0x,1.2 V,64K / 6144K / 0K,65W,Aug-08
Core 2 Duo E8600,Wolfdale,2-Core,Intel,775,45 nm,3333 MHz,10.0x,1.2 V,128K / 6144K / 0K,65W,Jan-01
Core 2 Extreme QX6700,Kentsfield,4-Core,Intel,775,65 nm,2666 MHz,10.0x,1.34 V,256K / 8192K / 0K,130W,Nov-06
Core 2 Extreme QX6800,Kentsfield,4-Core,Intel,775,65 nm,2933 MHz,11.0x,1.34 V,256K / 8192K / 0K,130W,Apr-07
Core 2 Extreme QX6850,Kentsfield,4-Core,Intel,775,65 nm,3000 MHz,9.0x,1.34 V,256K / 8192K / 0K,130W,Jul-07
Core 2 Extreme QX9650,Yorkfield,4-Core,Intel,775,45 nm,3000 MHz,9.0x,1.25 V,256K / 12288K / 0K,130W,Nov-07
Core 2 Extreme QX9770,Yorkfield,4-Core,Intel,775,45 nm,3200 MHz,8.0x,1.35 V,256K / 12288K / 0K,135W,Mar-08
Core 2 Extreme QX9775,Yorkfield,4-Core,Intel,771,45 nm,3200 MHz,8.0x,1.35 V,128K / 12288K / 0K,150W,Mar-08
Core 2 Extreme X6800,Conroe XE,2-Core,Intel,775,65 nm,2933 MHz,11.0x,1.34 V,128K / 4096K / 0K,75W,Jul-06
Core 2 Quad Q6600 (105W),Kentsfield,4-Core,Intel,775,65 nm,2400 MHz,9.0x,1.34 V,256K / 8192K / 0K,105W,Jan-07
Core 2 Quad Q6600 (95W),Kentsfield,4-Core,Intel,775,65 nm,2400 MHz,9.0x,1.34 V,256K / 8192K / 0K,95W,Jul-07
Core 2 Quad Q6700,Kentsfield,4-Core,Intel,775,65 nm,2666 MHz,10.0x,1.34 V,256K / 8192K / 0K,95W,Apr-07
Core 2 Quad Q7600,Yorkfield,4-Core,Intel,775,45 nm,2666 MHz,8.0x,0.9 V,256K / 2048K / 0K,95W,Jan-01
Core 2 Quad Q8200,Yorkfield,4-Core,Intel,775,45 nm,2333 MHz,7.0x,0.9 V,256K / 4096K / 0K,95W,Aug-08
Core 2 Quad Q8200s,Yorkfield,4-Core,Intel,775,45 nm,2333 MHz,7.0x,0.9 V,256K / 4096K / 0K,65W,Jan-09
Core 2 Quad Q8300,Yorkfield,4-Core,Intel,775,45 nm,2500 MHz,7.5x,0.9 V,256K / 4096K / 0K,95W,Nov-08
Core 2 Quad Q8400,Yorkfield,4-Core,Intel,775,45 nm,2666 MHz,8.0x,0.9 V,256K / 4096K / 0K,95W,Apr-09
Core 2 Quad Q8400s,Yorkfield,4-Core,Intel,775,45 nm,2666 MHz,8.0x,0.9 V,256K / 4096K / 0K,65W,Apr-09
Core 2 Quad Q9300,Yorkfield,4-Core,Intel,775,45 nm,2500 MHz,7.5x,0.9 V,256K / 6144K / 0K,95W,Mar-08
Core 2 Quad Q9400,Yorkfield,4-Core,Intel,775,45 nm,2666 MHz,8.0x,0.9 V,256K / 6144K / 0K,95W,Aug-08
Core 2 Quad Q9400s,Yorkfield,4-Core,Intel,775,45 nm,2666 MHz,8.0x,0.9 V,256K / 6144K / 0K,65W,Jan-09
Core 2 Quad Q9450,Yorkfield,4-Core,Intel,775,45 nm,2666 MHz,8.0x,0.9 V,256K / 12288K / 0K,95W,Mar-08
Core 2 Quad Q9550,Yorkfield,4-Core,Intel,775,45 nm,2833 MHz,8.5x,0.9 V,256K / 12288K / 0K,95W,Mar-08
Core 2 Quad Q9550s,Yorkfield,4-Core,Intel,775,45 nm,2833 MHz,8.5x,0.9 V,256K / 12288K / 0K,65W,Jan-07
Core 2 Quad Q9650,Yorkfield,4-Core,Intel,775,45 nm,3000 MHz,9.0x,1.3625 V,64K / 6144K / 0K,95W,Aug-08
Core i3-2100,Sandy Bridge,2-Core,Intel,1155,32 nm,3100 MHz,31.0x,unknown,64K / 256K / 3072K,65W,Feb-11
Core i3-2100T,Sandy Bridge,2-Core,Intel,1155,32 nm,2500 MHz,25.0x,unknown,64K / 256K / 3072K,35W,Feb-11
Core i3-2102,Sandy Bridge,2-Core,Intel,1155,32 nm,3100 MHz,31.0x,unknown,64K / 256K / 3072K,65W,Jun-11
Core i3-2105,Sandy Bridge,2-Core,Intel,1155,32 nm,3100 MHz,31.0x,unknown,64K / 256K / 3072K,65W,May-11
Core i3-2115C,Sandy Bridge,2-Core,Intel,1155,32 nm,2000 MHz,20.0x,unknown,64K / 256K / 3072K,65W,May-12
Core i3-2120,Sandy Bridge,2-Core,Intel,1155,32 nm,3300 MHz,33.0x,unknown,64K / 256K / 3072K,65W,Feb-11
Core i3-2120T,Sandy Bridge,2-Core,Intel,1155,32 nm,2600 MHz,26.0x,unknown,64K / 256K / 3072K,35W,Sep-11
Core i3-2125,Sandy Bridge,2-Core,Intel,1155,32 nm,3300 MHz,33.0x,unknown,64K / 256K / 3072K,65W,Sep-11
